FLUCCSCODE,FIRST_FLUC,HMPU_GROUP,HMPU_CLASS,HMPU_DESCRIPTOR,HMPU_TARGETS
1100,RESIDENTIAL LOW DENSITY < 2 DWELLING UNITS PER ACRE,Developed,Urban,Developed,Other
1180,RURAL RESIDENTIAL 2 TO 5 ACRES FOR EACH DWELLING,Developed,Urban,Developed,Other
1190,LOW DENSITY UNDER CONSTRUCTION,Developed,Urban,Developed,Other
1200,RESIDENTIAL MED DENSITY 2 TO 5 DWELLING UNITS PER ACRE,Developed,Urban,Developed,Other
1290,MEDIUM DENSITY UNDER CONSTRUCTION,Developed,Urban,Developed,Other
1300,RESIDENTIAL HIGH DENSITY,Developed,Urban,Developed,Other
1390,HIGH DENSITY UNDER CONSTRUCTION,Developed,Urban,Developed,Other
1400,COMMERCIAL AND SERVICES,Developed,Urban,Developed,Other
1480,CEMETERIES,Developed,Urban,Developed,Other
1490,COMMERCIAL AND SERVICES UNDER CONSTRUCTION,Developed,Urban,Developed,Other
1500,INDUSTRIAL,Developed,Urban,Developed,Other
1700,INSTITUTIONAL,Developed,Urban,Developed,Other
1800,RECREATIONAL,Developed,Urban,Developed,Other
1920,INACTIVE LAND WITH STREET PATTERNS BUT NO STRUCTURES,Developed,Urban,Developed,Other
1930,URBAN LAND IN TRANSITION WITH UNKOWN ACTIVITY,Developed,Urban,Developed,Other
8100,TRANSPORTATION,Developed,Urban,Developed,Other
8200,COMMUNICATION,Developed,Urban,Developed,Other
8300,UTILITIES,Developed,Urban,Developed,Other
3000,RANGELAND,Native,Native Non-Forested Uplands,Mixed_Rangeland,Native Uplands
3100,HERBACEOUS,Native,Native Non-Forested Uplands,Dry_Prairie,Native Uplands
3200,SHRUB AND BRUSHLAND,Native,Native Non-Forested Uplands,Shrub_and_Brushland,Native Uplands
3220,COASTAL SCRUB,Native,Native Non-Forested Uplands,Shrub_and_Brushland,Native Uplands
3300,MIXED RANGELAND,Native,Native Non-Forested Uplands,Mixed_Rangeland,Native Uplands
4100,UPLAND CONIFEROUS FOREST,Native,Native Forested Uplands,Upland_Coniferous_Forest,Native Uplands
4110,PINE FLATWOODS,Native,Native Forested Uplands,Upland_Coniferous_Forest,Native Uplands
4120,LONGLEAF PINE - XERIC OAK,Native,Native Forested Uplands,Upland_Coniferous_Forest,Native Uplands
4200,UPLAND HARDWOOD FORESTS - PART 1,Native,Native Forested Uplands,Upland_Hardwood_Forest,Native Uplands
4210,XERIC OAK,Native,Native Forested Uplands,Upland_Hardwood_Forest,Native Uplands
4300,UPLAND HARDWOOD FORESTS - PART 2,Native,Native Forested Uplands,Upland_Hardwood_Forest,Native Uplands
